名称,编码,中国名称
DHL,dhl,DHL,
UPS,ups,UPS,
Fedex,fedex,Fedex-联邦快递,
TNT,tnt,TNT,
China EMS,china-ems,中国 EMS,
China Post,china-post,中国邮政,
Singapore Post,singapore-post,新加坡邮政(小包),
Singapore Speedpost,singapore-speedpost,新加坡特快专递,
Hong Kong Post,hong-kong-post,香港邮政,
Swiss Post,swiss-post,瑞士邮政,
USPS,usps,美国邮政,
United Kingdom Royal Mail,royal-mail,英国皇家邮政,
Parcel Force,parcel-force,英国邮政parcelforce,
Netherlands Post - PostNL,postnl-parcels,荷兰邮政-PostNL,
Netherlands Post,netherlands-post,荷兰邮政(大包),
Australia Post,australia-post,澳大利亚邮政,
Australia EMS,australia-ems,澳大利亚 EMS,
Canada Post,canada-post,加拿大邮政,
New Zealand Post,new-zealand-post,新西兰邮政,
Bpost,belgium-post,比利时邮政,
Brazil Correios,brazil-correios,巴西邮政,
Russian Post,russian-post,俄罗斯邮政,
Sweden Posten,sweden-posten,瑞典邮政,
La Poste,laposte,法国邮政-La Poste,
France EMS - Chronopost,chronopost,法国 EMS-Chronopost,
Colissimo,colissimo,法国邮政-Colissimo,
Poste Italiane,poste-italiane,意大利邮政,
India Post,india-post,印度邮政,
Magyar Posta,magyar-posta,匈牙利邮政,
YANWEN,yanwen,燕文,
Deutsche Post DHL,dhl-germany,德国DHL,
An Post,an-post,爱尔兰邮政,
DHL Parcel Netherlands,dhlparcel-nl,荷兰DHL,
DHL Poland Domestic,dhl-poland,波兰DHL,
DHL Spain Domestic,dhl-es,西班牙DHL,
Mexico Post,correos-mexico,墨西哥邮政,
Posten Norge,posten-norge,挪威邮政,
TNT Italy,tnt-it,意大利TNT,
TNT France,tnt-fr,法国TNT,
Portugal Post - CTT,ctt,葡萄牙邮政-CTT,
South African Post Office,south-africa-post,南非邮政,
Correos,correos-spain,西班牙邮政,
Taiwan Post,taiwan-post,台湾邮政,
Ukraine Post,ukraine-post,乌克兰邮政,
Ukraine EMS,ukraine-ems,乌克兰 EMS,
Emirates Post,emirates-post,阿联酋邮政,
Uruguay Post,uruguay-post,乌拉圭邮政,
Japan Post,japan-post,日本邮政,
Poșta Română,posta-romana,罗马尼亚邮政,
Korea Post,korea-post,韩国邮政,
ELTA Hellenic Post,greece-post,希腊邮政,
Deutsche Post,deutsche-post,德国邮政,
Česká Pošta,czech-post,捷克邮政,
Correos Chile,correos-chile,智利邮政,
Åland Post,aland-post,奥兰群岛芬兰邮政,
Macao Post,macao-post,澳门邮政,
WishPost,wishpost,Wish邮,
PFC Express,pfcexpress,PFC皇家物流,
Yun Express,yunexpress,云途物流,
CNE Express,cnexps,CNE国际快递,
Buylogic,buylogic,捷买送,
4PX,4px,递四方,
Anjun Logistics,anjun,安骏物流,
J-NET Express,j-net,J-NET捷网,
Miuson Express,miuson-international,深圳淼信国际物流,
SF International,sfb2c,顺丰国际,
S.F Express,sf-express,顺丰速递,
STO Express,sto,申通快递,
YTO Express,yto,圆通快递,
TTKD Express,ttkd,天天快递,
JD Express,jd,京东快递,
ZTO Express,zto,中通快递,
ZJS International,zjs-express,宅急送快递,
Yunda Express,yunda,韵达快递,
DEPPON,deppon,德邦物流,
XQ Express,xqwl,星前物流,
Chukou1 Logistics,chukou1,出口易,
XRU,xru,XRU-俄速递,
Ruston,ruston,Ruston俄速通,
QFKD Express,qfkd,全峰快递,
Nanjing Woyuan,nanjingwoyuan,南京沃源,
Hua Han Logistics,hhexp,华翰物流,
Flyt Express,flytexpress,飞特物流,
Ali Business Logistics,al8856,阿里电商物流,
JCEX,jcex,JCEX佳成,
DPE Express,dpe-express,递必易,
LWE,lwehk,LWE,
Equick China,equick-cn,EQUICK国际快递,
Cuckoo Express,cuckooexpress,布谷鸟速递,
DWZ Express,dwz,递五洲国际物流,
Takesend Logistics,takesend,泰嘉物流,
MC Express,md-express,茂聪国际物流,
Aliexpress Standard Shipping,cainiao,速卖通线上物流,
TGX,tgx,TGX精英速运,
Ausworld Express,aus,澳世速递,
SX-Express,sxexpress,三象速递,
Sri Lanka Post,sri-lanka-post,斯里兰卡邮政,
EWE global express,ewe,EWE全球快递,
Jdpplus,jdpplus,美国急递速递,
Sudan Post,sudan-post,苏丹邮政,
Showl,showl,森鸿物流,
Syrian Post,syrian-post,叙利亚邮政,
RaidereX,raiderex,RaidereX,
allekurier,allekurier,AlleKurier,
Sendle,sendle,Sendle,
RZY Express,rzyexpress,RZY Express,
Transrush,transrush,转运四方,
Tanzania Post,tanzania-post,坦桑尼亚邮政,
Suteng Logistics,ste56,速腾快递,
Bombino Express,bombino-express,Bombino Express,
Thailand Post,thailand-post,泰国邮政,
Airpak Express,airpak-express,Airpak Express,
Winit,winit,winit万邑通,
Togo Post,togo-post,多哥邮政,
QEXPRESS,qexpress,新西兰易达通,
Tonga Post,tonga-post,汤加邮政,
LBC Express,lbcexpress,LBC Express,
360zebra,360zebra,斑马物联网,
CHINZ LOGISTICS,chinz56,秦远物流,
